paper_id,paper_name,year,task_category,what_we_use_it_for,input_type,output_type,latency_priority,deployment_stage,notes
crowdvlm_r1_2025,CrowdVLM-R1,2025,crowd counting foundation,Foundation-level counting features and transfer learning baseline for dense stadium scenes.,still image or short video crop,crowd count estimate and latent scene representation,medium,offline training and benchmarking,Best suited as a high-capacity benchmark model rather than first-line real-time deployment.
hmstunet_2026,HMSTUNet,2026,density heatmap generation,"Dense spatial occupancy estimation around gates, concourses, and chokepoints.",single frame or multi-scale image tensor,pixel-aligned density heatmap,medium,near-real-time inference,Useful when count totals alone are insufficient and spatial congestion needs to be visualized.
pet_iccv_2023,PET,2023,point-level localization,Head or person point localization for zone occupancy and annotation-efficient supervision.,image frame,set of person points,medium,training support and evaluation,Complements counting and density maps by preserving interpretable per-person locations.
ffnet_2024,FFNet,2024,real-time crowd counting,Fast deployment model for live gate-side inference where latency is constrained.,video frame,crowd count and lightweight density estimate,high,edge deployment,Primary real-time counting candidate when compute budget is limited.
proactive_crowd_flow_2025,Proactive Crowd Flow,2025,forecasting and ACI gap identification,"Arrival curve forecasting, congestion precursor detection, and operational gap labeling.","historical arrivals, sensor states, and event context",future congestion risk and intervention windows,medium,batch forecasting with live refresh,Encodes how to identify upcoming gate pressure before queues fully materialize.
yolov8_2023,YOLOv8,2023,live object detection,"Bounding-box person detection for sparse scenes, validation, and multi-camera observability.",video frame,bounding boxes with confidence scores,high,real-time deployment,Works best in moderate density scenes and for operational visibility rather than packed-count precision.
real_esrgan_2021,Real-ESRGAN,2021,image enhancement,Low-resolution or pixelated camera cleanup before downstream detection or localization.,low-resolution image crop,super-resolved image,low,preprocessing or selective enhancement,Should be applied selectively because enhancement adds latency and may hallucinate details.
b2bdet_2024,B2BDet,2024,super-resolution plus detection validation,Evaluate whether image enhancement materially improves downstream detection quality.,paired raw and enhanced images,validated detection performance delta,low,offline evaluation,Useful as a guardrail to avoid deploying enhancement that helps visuals but hurts detector trustworthiness.
farneback_2003,Farneback Optical Flow,2003,motion estimation,Estimate dominant movement direction and local flow magnitude around gates and corridors.,consecutive video frames,dense optical flow vectors,high,real-time analytics,Good classical baseline for directionality even when labels are scarce.
fruin_los_1971,Fruin Level of Service,1971,safety scoring,Translate density and movement into interpretable crowd pressure and safety levels.,"density, flow, and space assumptions",pressure score and LOS class,high,real-time rules layer,Physics-inspired heuristic bridge between CV outputs and operator-facing safety alerts.
gabppo_2024,GABPPO,2024,gate routing optimization,"Recommend routing actions such as staying, rerouting, or opening auxiliary gates.","gate state graph, pressure scores, and forecast demand",routing action policy,medium,decision optimization,Best used on top of reliable forecasting and safety features rather than raw video alone.
